#separator:tab
#html:true
a, az	the
Excuse me! / Please!	Legyen szíves!
to go regularly	jár
later / then	majd
never	soha
discussion meeting	megbeszélés
exhibition	kiállítás
compromise	kiegyezés
reprisal, repression	megtorlás
against	ellen
resistance	ellenállás
negotiation	tárgyalás
was created, established	létrejött
to last; to remain open/closed	tart
can be seen as...	tekinthető
transition	átalakulás
yourself accusative	magadat
each other accusative	egymás
myself	magamat
me accusative	engem
you accusative	téged
enjoy	élvez
warn	figyelmeztet
operate	műt
push	tol
visit	meglátogat
find	talál
watch	figyel
know	ismer
ask for	kér
use	használ
hear	hall
bring	hoz
rent	bérel
collect	gyűjt
cut	vág
spend	költ
bleed	vérzik
itch	viszket
break	tör
usually do	szokott
ankle	boka
finger	ujj
blood	vér
throat	torok
fur	szőr
thigh	comb
buttocks	fenék
knee	térd
mustache	bajusz
skin	bőr
spine	gerinc
shoulder	váll
hand	kéz
hair	haj
neck	nyak
heel, corner	sarok
arm	kar
face	arc
eye	szem
ear	fül
leg	láb
mouth	száj
head	fej
belly	has
nose	orr
hairy	szőrös
bride	menyasszony
brother-in-law	sógor
fiancé	vőlegény
relative	rokon
grandchild	unoka
blonde	szőke
rainy	esős
sunny	napos
windy	szeles
correct	helyes
wide	széles
horse	ló
song	dal
letter	level
example	példa
chestnut	gesztenye
walnut	diót
peanut	mogyorót
queue	sor
pants	nadrág
something	valamit
zoo	állatkert
sidewalk	járda
resignation	lemondás
puppet	báb
battlefield	hadszíntér
majority; predominantly	többség
rural, countryside	vidéki
Jewish	zsidó
victim	áldozat
is estimated	tehető
to attack	megtámad
Axis Powers	tengelyhatalmak
team; troops, platoon	csapat
to occupy	megszáll
autumnal, of autumn	őszi
about, approximately	mintegy
signature	aláírás
peace treaty	békeszerződés, békediktátum
to decrease	csökken
to get stuck	reked
main, fundamental	alapvető
revision	felülvizsgálat
outside of something	valamin kívül
heir to the throne	trónörökös
assassin	merénylő
to kill	meggyilkol
Allied, Allies	szövetséges
opposite	szemben
nearly, almost	szinte
more	több
deport, drag away	hurcol
decision, award	döntés
reparation	jóvátétel
furthermore	továbbá
oblige	kötelez
promise	ígér
despite something	valami ellenére
to leave (a place)	elhagy
to crush, dismantle	felszámol
appoint, designate	kijelöl
associated with	fémjelzett
funeral	temetés
system	rendszer
change, switch	váltás
cease to exist	megszűnik
election	választás
choose	választ
republic	köztársaság
president, chairman	elnök
be formed	alakul
for good, permanently	végleg
think	gondol
literature	irodalom
personality	személyiség
folk	nép
melody	dallam
notate, transcribe	lekottáz
record, write down	lejegyez
representative	képviselő
standard, level	színvonal
creator (artist)	alkotó
work of art	mű
figure	alak
praise	dicsér
danger	veszély
journal	folyóirat
gate	kapu
predecessor	előd
connection, entanglement	összefonódás
confession	vallomás
version	változat
item	tétel
joy	öröm
swan	hattyú
heart	szív
special	különleges
accept, adopt	elfogad
enter into force	hatályba lép
sure	biztos
value	érték
preserve	megőriz
represent	képvisel
to amend	módosít
budget	költségvetés
executive	végrehajtó
relationship	kapcsolat
confidence, trust	bizalom
direct	irányít
to coordinate	összehangol
legal regulation	jogszabály
defence	rendvédelem
case, affairs	ügy
environment	környezet
investment	beruházás
settlement	település
oversee	őrködik
state organization	államszervezet
above, over	fölött, felett
secret	titkos
at most	legfeljebb
occasion	alkalom
commander in chief	főparancsnok
inaugural session	alakuló ülés
convene, call together	összehív
dissolve	feloszlat
case	eset
improvement, development	feljesztés, feljődes
legal equality	jogegyenlőség
convention	egyezmény
jurisdiction	joghatóság
following	alábbi
distinguish, differentiate	megkülönböztet
freedom of association	egyesülési szabadság
freedom of conscience	lelkiismereti szabadság
freedom of speech	szólásszabadság
freedom of the press	sajtószabadság
people with disabilities	fogyatékkal élők
milestone	mérföldkő
